"辞書
ページ"	見出し	見出しの漢字	見出しの説明	内容
708	しるし	〔印〕		siN，sirusi，→sirubi，?uQciki
708	しるわん	〔汁椀〕		siruwaN，?usiruwaN
708	じれったい			tiihagoosaN，→hagoosaN，いらいら/～さまhutuhutu
708	しれわたる	〔知れわたる〕		sasisirijuN
708	しろ	〔白〕		siru，→まっしろ
708	しろ	〔城〕		siru，guSiku/～の中siru?uci
708	しろ	〔代〕		siru，→かわり，だいか
708	しろあと	〔城跡〕		siru?atu
708	しろあり	〔白蟻〕		→しろあり
708	しろい	〔白い〕		sirusaN/白っぼくなる sirasabeejuN/～紙 sirukabi/～布 sirununu/～もの siruu/ 魚などの～腹 siruwata
708	しろいんげん	〔白隠元〕		→sirumaami
708	しろうと			Zuku/～大工taabaaZeeku
708	しろうり	〔白瓜〕	(植物名)	moo?ui
708	しろごま	〔白胡麻〕		siru?uguma
708	しろざとう	〔白砂糖〕		siruZatoo，teehwaku
708	しろじ	〔白地〕		siruzi
708	しろした	〔白下〕		sirusita
708	しろなまず	〔白なまず〕		sirabee
708	しろぼし	〔白星〕		sirubusi
708	しろまめ	〔白豆〕		sirumaami
708	しろみ	〔白身〕		sirumi，sirumii
708	しろめ	〔白目〕		sirumii
708	しわ	〔皺〕		magui，'wazami，→ひだ/～が寄る cizinuN，magujuN，wazanuN/～だらけ→しわくちゃ/～だらけの顔 maaguuzira，maguiZira/～になる magurijuN/～の寄ったもの maaguu/～をよせる cizimijuN，'wazamijuN
708	しわがれごえ	〔しわがれ声〕		kwiikaraa，sjuukarigwii，tusjuigwii，→かれる
708	しわくちゃ	〔皺くちゃ〕		maaguuhwiiguu，maguihwigui，maguikaa，magujaahwigujaa，muNnaku，muNnakukwaNnaku，muNnakwaNna/～にする CikunaasjuN/～の顔 maaguuZira，maguiZira
708	しわざ	〔仕業〕		siwaZa
708	しわす	〔師走〕		siwaasi/～に使う金siwaasiZikee/～の忙しさsiwaasi?icunasa/～の市 siwaasimaci/ ～の買物 siwaasikooimuN/～の商売 siwaasi?acinee
708	しん	〔芯〕		nakaguu，nakaziN，siN，→ずい
708	じん	〔人〕		-Ncu
708	じんあい	〔塵埃〕		cirihukui，→ちり
708	しんい	〔神意〕		?utiNgutu
708	しんいり	〔新入り〕		→しんざん
708	じんいんちょうさ	〔人員調査〕		niNZu?aratami
708	しんか	〔臣下〕		siNka
708	しんがい	〔心外〕		→ざんねん/～なこと(～なもの)?umaaraNmuN
708	しんかん	〔神官〕		kamiNcu/～の家 →niidukuru，niija/～の家の主人 →niiNcu/～の一種?amusirare，?aNsirari，?aNsitari，cihwiziN，cihwiziNganasii，cimi，ciN，kudi，nigami，nuru，nurukumii，nuuru，?ukudi，'wikii?ukudi，'unai?ukudi/～の御殿 →cihwiziN?uduN/～の屋敷 →sjuimituNci，sjuNdunuci，sjuNduNci，makaNduNci，ziibuduNci
708	しんがん	〔心願〕		cimunigee，→がん
708	しんきゅうし	〔鍼灸師〕		'jabuu
708	しんけいすいじゃく	〔神経衰弱〕		cijami，siNhwicagi
708	しんけいつう	〔神経痛〕		hwizuicii
708	じんご	〔人後〕		Qcu?atu
708	しんこう	〔信仰〕		guniNzi，niNzi/～するniNzijuN，siNzijuN
708	じんこう	〔沈香〕		ziNkoo
709	しんこうせん	〔進貢船〕		?ajabuni，?ajahuni，ciNkuNsiN/～で中国へ行く使者?ajabuniCikee/～を迎えに中国へ行く船→ceQkuNsiN
709	しんざん	〔新参〕		?imamee，mii?iri/～の士族miijukaQcu，siNZaN
709	しんし	〔●〕	(織機具)	siisi/～の両端のとがったところsiisiguci
709	しんしつ	〔寝室〕		niZasici，Zasici，→kuca，'Nkuca
709	しんじつ	〔真実〕		siNziCi，ziNtoo，→ほんとう
709	しんしゅく	〔伸縮〕		nubicizimi
709	しんじょうする	〔進上する〕		→あげる
709	しんじる	〔信じる〕		→しんこう
709	しんしん	〔心神〕		saa，→せいしん
709	しんじん	〔信心〕		guniNzi，niNzi/～するniNzijuN，siNzijuN
709	しんせき	〔親戚〕		hwici，kaQpici，?weeka，→hwiciharoozi，magara，?weekaharoozi，(敬語)?uNpadaN，cica?uNpadaN，cica?weeka，cikamagara，cika?weeka，→えんこ，しんぞく，しんるい/遠い～tuumagara
709	しんせつ	〔親切〕		cimu?iri，kukuru?iri，siNziCi，sjuZuN
709	しんぞう	〔新造〕		?araZukui
709	しんぞう	〔心臓〕		hukumaami
709	じんぞう	〔腎臓〕		maami
709	じんぞうびょう	〔腎臓病〕		siisu
709	しんぞく	〔親族〕		→しんせき/～会議 ?icimuNzurii，muNcuuzurii
709	しんそこ	〔心底〕		siNtii
709	しんだん	〔診断〕		miCiki，→みたて
709	しんちゅう	〔真鍮〕		cizaku/～のかんざしcizakuziihwaa
709	しんちょう	〔身長〕		→たけ，せい
709	しんちょうに	〔慎重に〕		miSiku
709	じんつうりき	〔神通力〕		→れい
709	しんどう	〔新道〕		miimici
709	しんねん	〔新年〕		?akimadusi，miidusi，→しょうがつ
709	しんの	〔真の〕		siNna，siNnu，→ほんとう
709	しんばい	〔心配〕		cimuhwicagi，niNzikee，siwa，→hwicagi?urusi，きがかり，くろう，こころがかり/～がありそうであるmunu?umiigisaN/～がなくなる?uhuminaaku najuN，?uminaaku najuN，→あんしん/～するhwicagijuN，→siwa/～するさま?amazaahjaazaa，?amazarahjaazara/～する者siwasjaa
709	しんばいがお	〔心配顔〕		munumigau
709	しんばいごと	〔心配事〕		siwagutu
709	しんばりぼう	〔心張り棒〕		siNbai
709	しんびん	〔新品〕		miimuN，saramiimuN
709	じんびん	〔人品〕		sina
709	しんぷ	〔新婦〕		miijumi
709	しんぶくさせる	〔心服させる〕		marumijuN，→けいとうする
709	じんぷん	〔人糞(豚の飼料としての)〕		nagui，→だいべん
709	しんぼうする	〔辛抱する〕		→がまんする
709	しんまい	〔新米〕		→しんざん/～でたく飯miimee
709	じんましん	〔蕁麻疹〕		kaZoorimuN，muNzaai
709	しんみょう	〔神妙〕		siNbjuu，→しゅしょう
709	じんみん	〔人民〕		→ばんにん
709	しんもつ	〔進物〕		riizi，?ukuimuN，?usjagimuN，→おくりもの
709	しんや	〔深夜〕		tuciSiri，→まよなか
709	しんゆう	〔親友〕		'iidusi
709	しんよう	〔信用〕		/～がおける ziNzuusaN，→ziNzuu/～される→しんらい
709	しんらい	〔信頼〕		→しんよう/～される'iirarijuN
709	じんりきしゃ	〔人力車〕		→kuruma
709	しんるい	〔親類〕		→しんせき/～縁者 hwiciharoozi，?weekaharoozi
709	しんれい	〔神霊〕		sizi，→かみ，れい
709	しんれき	〔新暦〕		'jamatugujumi
709	しんろう	〔心労〕		→くろう，しんぱい
709	しんろう	〔新郎〕		miimuuku
710	す	〔酢〕		?amaZaki，hweei，Sii
710	す	〔巣〕		Sii/～につく sukunuN/～を作ること siiZukurii
710	すい	〔酸い〕		SiisaN/～もの SiimuN
710	ずい	〔髄〕		zii，→しん
710	すいえい	〔水泳〕		?wiizi，→およぐ
710	すいか	〔西瓜〕		kwaNtu?ui，Siikwa?ui/～の種?uNzani
710	ずいき	〔芋茎〕		muzi，taamuzi/～を入れた汁 muzinu?usiru
710	すいぎん	〔水銀〕		miZigani
710	すいくち	〔吸い口〕		kwiikuci
710	すいさん	〔推参〕		SiisaN，→でしゃばる，なまいき
710	すいじ	〔炊事〕		Zoosici
710	すいしゃ	〔水車〕		miZiguruma
710	すいじゃくする	〔衰弱する〕		'jabirijuN，'jahwaracuN，joojuN，→よわる/～した者'jabiraa，'jabirimuN
710	すいじん	〔粋人〕		sjuzooniN
710	すいせい	〔彗星〕		hoocibusi，?irigaNbusi
710	すいぜんじな	〔水前寺菜〕		haNdama
710	すいだす	〔吸出す〕		kwiinuzuN/吸出しごうやくSipuigoojaku/吸出し療法buubuunuzi/吸出し療法に使う竹筒buubuu
710	すいちゅう	〔水中〕		mizinumii
710	すいとう	〔水筒〕		→dacibiN
710	すいとう	〔水痘〕		miZigasa，miZigasaa
710	すいのう	〔水嚢〕	(篩の一種)	Siinoo
710	すいび	〔衰微〕		Siibi，→おとろえる
710	すいふ	〔水夫〕		hunaku，kaku，→せんいん
710	すいみつとう	〔水密桃〕		→kiimumu
710	すいみんぶそく	〔睡眠不足〕		niNzibusuku
710	すいもの	〔吸物〕		SiimuN，→しる
710	すいものわん	〔吸物椀〕		SiimuNwaN，siruwaN
710	すいよくする	〔水浴する〕		?amijuN，→みずあび
710	すう	〔数〕		suu，→かず
710	すう	〔吸う〕		SipujuN，suujuN
710	ずうずうしい	〔図々しい〕		namasaN，→あつかましい/～顔 namaZira，zira/～者namaraa.namarimuN.namaZiraa.namaZirimuN/ずうずうしくなるnamarijuN
710	スープ			niinuzi，siNzi
710	すえ	〔末〕		Sii
710	すえっこ	〔末っ子〕		?uQtuNgwa
710	すえる	〔据える〕		'isijuN，SikijuN
710	すえる	〔饐える〕		nitamajuN，SiijuN/饐えた味 Siiki/饐えたにおい humicikaza，siikaza/饐えたものsiimuN
710	すがいと	〔絓糸〕		siraga/～で織った礼服siragawataziN
710	すかす	〔賺す〕		SikasjuN，→あやす，だます，なだめる
710	すがすがしい			/～におい SidakaZa
710	すがた	〔姿〕		kaagi，narihuzi，sigata，→kataci，(敬語)mikazi，'Ncaagi，かっこう，ざま，ふうさい
710	すがる	〔縋る〕		SigajuN/すがりつくさまkacisigasigai
710	すき	〔好き〕		Sici，→zoogu，zooguu/～でないことbusici
710	すき	〔鋤〕		→?uZuNbiira
710	すき	〔隙〕		→すきま
710	すぎ	〔杉〕		Sizi
710	すぎいた	〔杉板〕		Sizi?ita
710	すきうつし	〔透き写し〕		?usiigaci
710	すきおこす	〔鋤き起こす〕		Sici?ukusjuN
710	すききらい	〔好ききらい〕		SicibuSici，→munugusi，muNnu?irihui
710	すきぐし	〔梳櫛〕		kusi
710	ずきずき			hwisihwisi，→ずきん
710	すきばら	〔空腹〕		→くうふく
711	すきま	〔隙き間〕		?aaki，madu，tabasa，→?eeza，あきま
711	すきみ	〔透き見〕		suumi，→のぞく
711	すぎる	〔過ぎる〕		SirijuN，SizijuN，→ちょうかする，とおりすぎる/～ことkwaa
711	すぎわらがみ	〔杉原紙〕		sugiwara
711	ずきん			hwiQsui，→ずきずき/～ずきんhwiQsuihwiQsui/～と痛む hwiQsuimikasjuN
711	ずきん	〔頭巾〕		moocaN，ZiQciN
711	すく	〔鋤く〕		SicuN
711	すく	〔梳く〕		→くしけずる
711	すく	〔漉く〕		SicuN
711	すく	〔好く〕		→このむ
711	すぐ			caaki，Sigu，tacinama，tadeema，→たちまち
711	ずく			-Zuku
711	すくい	〔救い〕		sukui，→たすけ
711	すくう	〔救う〕		sukujuN，→たすける
711	すくう	〔掬う〕		sukujuN
711	すくない	〔少ない〕		?ikirasaN，→haganasaN
711	すくむ	〔竦む〕		sukunuN
711	すぐれる	〔勝れる〕		kacuN，sugurijuN，tacimasajuN，→えらい，ぬきんでる，まさる/すぐれた子suguriNgwa/すぐれた人 suguriNcu/すぐれた者 suguraa，sugurimuN
711	ずけずけ			'NzaNzaatu
711	すけべい	〔助平〕		?iraa
711	すける	〔透ける〕		tuukijuN
711	すげる			sigijuNごい
711	すごい			hagoorii，?usumasjaN，→たいした，ひじょうに，ものす
711	すこし	〔少し〕		?ihwi，?ikira，?iNteeN，kuuteeN，suQtu，suusuu，→saa けいしょう，ちょっと/～ずつ kuuteeNnaa/～のもの ?ikiramuN/～も musaQtu，/もう～の所で→すんでのことで muQtu
711	すごす	〔過ごす〕		SigusjuN，→ちょうかする
711	すごもる	〔巣籠もる〕		sukunuN/巣ごもった鳥sukuNdui
711	すさる			SizicuN→のく
711	すじ	〔筋〕		Ciru，kazi，SiZi/～がつることgaraSimagai
711	すじょう	〔素姓〕		suzoo，→うまれ
711	ずじょう	〔頭上〕		Cizi
711	すす	〔煤〕		SiiSi
711	すず	〔錫〕		sirukani，SiZi/～のびん SiZibiN
711	すすき	〔薄〕		gusici，SiSici/～の花baraN
711	すすぐ	〔濯ぐ・漱ぐ〕		SiSizuN，'uuzuN
711	すずし	〔生絹〕		namasiraga
711	すずしい	〔涼しい〕		SidasaN，→hwizurusaN/～風Sidakazi/～ことduuhwizui/涼しそうである SidagisaN
711	すすむ	〔進む〕		SiSinuN，→?aQcuN/進んでする SiSinuN/進んでする者?ugucimuci
711	すずむ	〔涼む〕		SidanuN，sugarijuN
711	すずめ	〔雀〕		'jumudui，kuraa
711	すすめる	〔勧める〕		SiSimijuN
711	すずり	〔硯〕		Siziri
711	すずりばこ	〔硯箱〕		Siziribaku
711	すずりぶた	〔硯蓋〕		Siziributa
711	すする	〔啜る〕		SiSijuN
711	すそ	〔裾〕		meesuba，susu
711	ずたずた			ciritaikaatai，'jarikwaNkwaN，→きれぎれ/～に切ること ?usiciriziri
711	すだれ	〔簾〕		Sidai
711	すたれもの	〔廃れ物〕		→はいぶつ
711	すたれる	〔廃れる〕		SitarijuN
711	ずつ			-naa
711	ずつう	〔頭痛〕		CiburujaN，→へんずつう/～の軽いもの namaCiburujaN/～の種?aNmasimuN
711	すっかり			marumaruutu，nuuNkwiiN，→のこらず
711	すっきり			→tukuQtu/～する →tuukijuN
711	ずっと			duQtu，duutu，katakuzira，nagaduusi，nagiduusi
711	すっとばす	〔すっ飛ばす〕		?uQtunugasjuN，?uQtubasjuN
711	すっとぶ	〔すっ飛ぶ〕		tunuZuN，tuNzuN，?uQtubuN，→hwiNtubi
711	すっばい			SiisaN/～もの SiimuN
711	すで	〔素手〕		'Nnadii，'Nnadiikaradii，'Nnaduu，'Nnaduukaraduu
712	すてうり	〔捨て売り〕		Siti?ui
712	すておく	〔捨ておく〕		?uQceerakasjuN，?uQteerakasjuN，?uQteerakijuN
712	すてね	〔捨て値〕		/～の品 SitimuN
712	すてばち	〔捨てばち〕		?aQpaNgaree
712	すてる	〔捨てる〕		SitijuN，→tuiSitijuN，?uQcaNgijuN，(小児語)buQtii，pee，なげすてる/捨てた滓 Sitigara/捨てたもの SitimuN/捨てた散らかすこと Sitihoorii/ 捨ててしまう caNnagijuN
712	すな	〔砂〕		juni，Sina，?uru/～の'juna-/～を敷いた道 Sinamici
712	すなじ	〔砂地〕		kaniku
712	ずにあたる	〔図に当る〕		→baci
712	すね	〔臑〕		Sini，→むこうずね
712	すねげ	〔臑毛〕		Sinigii
712	すねもの	〔すね者〕		hwinaa，hwiNsjaa，→hwiN
712	すねる			mudijuN，→hwiN
712	すのもの	〔酢の物〕		sunee，?usaci
712	すばしこい			gurusaN，→みがるである/～者 gurumuN，guruu
712	すばやい			gurusaN，→すばしこい
712	ずぶぬれ			siQtaikaatai
712	すべっこい			naNdurusaN，→なめらか/～もの naNdurumuN，naNduruu/表面が～こと ?waabiSiNdi
712	すべて			maziri，→のこらず
712	すべらす	〔滑らす〕		SiNdakasjuN
712	すべりひゆ		(植物名)	niNbutukii
712	すべる	〔滑る〕		SiNdijuN/ 滑りやすい道naNdurumici
712	すまい	〔住まい〕		Simee，→じゅうしよ
712	すまう	〔住まう〕		→すみつく/むだなく ～SimeecijuN
712	すます	〔済ます〕		SimasjuN，?ucinasjuN，→しおわる
712	すみ	〔墨〕		Simi/～と紙Simikabi/～と筆と紙simihudikabi
712	すみ	〔隅〕		Simi，→かたすみ，すみずみ/～をほじくるようなこと miimiikuuzii
712	すみ	〔炭〕		taN
712	すみいと	〔墨糸〕		Siminaa
712	すみこみ	〔住み込み〕		?iricirii
712	すみずみ			/～まで miimiiteedee
712	すみだわら	〔炭俵〕		taNdaara
712	すみづか	〔墨柄〕		Simikwaasjaa
712	すみつく	〔住みつく〕		'jaaZicuN
712	すみなわ	〔墨繩〕		Siminaa
712	すみばこ	〔炭箱〕		taNbaku
712	すみばさみ	〔墨ばさみ〕		Simikwaasjaa
712	すみび	〔炭火〕		taNbii
712	すみやき	〔炭焼き〕		taNjacaa
712	すむ	〔済む〕		SinuN，?ucinajuN，→しおわる，おわる
712	すむ	〔澄む〕		SinuN/澄みきる SiNcirijuN
712	すむ	〔住む〕		→すまう
712	すもう	〔相撲〕		Sima/～の手の名'jakusja，maci，magii，meegaki，nusi，tiinuzaa
712	すもり	〔巣守〕		Simuru
712	すやき	〔素焼き〕		?arajaci，→やきもの/～のどんぶり ?arajacimakai/～のやかん?arajacijaQkwaN
712	すら		(助詞)	-cooN，-deNSi
712	ずらす			SiikijuN
712	すらり			→すんなり/～としている →suguitaQcooN
712	ずりうごく	〔ずり動く〕		SiicuN，→ずれる
712	すりきず	〔すり傷〕		Sirikizi
712	すりけす	〔すり消す〕		kuNsjuN，SiricaasjuN，→もみけす
712	すりこぎ			Sirukuzi
712	すりつける			→なすりつける
712	すりぬける	〔すり抜ける〕		SirinugaajuN，hwiNnugijuN/すり抜けさせる hwiNnugasjuN
712	すりばち			Sirihaci，Siruhaci
712	すりむく			SirihazuN
712	する	〔為る〕		nasjuN，sjuN，(敬語)miSeeN，→おこなう，やる/…してしまう→cii，kee-/…してしまった→neeN/…してばかりいる(…して暮らす)→?aQcuN，caa/しないでおく'joosjoocuN/しやがれ-mi-sirei/しやすいsiijaQsaN/…～機会を失う-haZakijuN，-hazikijuN，→しそこなう/～ふりだけ →sjuNsooroo
713	する	〔磨る〕		SijuN，→こする
713	ずるい			→こうかつ
713	するする			soorusooru，soorusooruu
713	するどい	〔鋭い〕		→tacuN/～刃物 hwizurumuN
713	するめ			kari?ica
713	するめいか			tubi?icaa
713	ずれる			?wiicuN，→ずりうごく
713	すわりしごと	〔座り仕事〕		'iisikuci，'iiwaZa
713	すわる	〔座る〕		'ijuN，→hwisjamaNci，せいざ/すわりこむこと sicitaku/無為にすわっていること 'Nnaii/～場所→せき
713	すん	〔寸〕		SiN
713	ずんぐり			/～した者 niimaaraa
713	すんでのことで			huda，hudagasi，hudaganasi，→もう
713	すんなり			→すらり/～している 'jujuzurasaN
713	せ	〔背〕		→せなか/～を向ける →kusi
713	せ	〔背〕	(せい)	hudu，Siihudu，→sii/～の高い者 tacaai，takahazii，takasoo，takasoonaa，takasoonii/～の高さ taki/～の低い者 ?iNcoo
713	せい	〔姓〕		'jaaNnaa，mjoozi，noozi，sii
713	せい	〔精〕		→まもの
713	せい	〔所為〕		'jui/～にする ?uusijuN/～にすることkusjati
713	ぜい	〔税〕		→kanee，zoonoo
713	せいいく	〔成育〕		→せいちょう
713	せいいっぱい	〔精一杯〕		sii?iQpee，→いっしょうけんめい
713	せいえん	〔製塩〕		→しおたき
713	せいかつ	〔生活〕		kurasi，taciZuku，→くらす，せいかつ/～難→tacikaNtii/～に余裕ができること →timawasi/～の方法→くらしかた
713	せいき	〔生気〕		→げんき/～のない顔 nitamaiZira
713	せいぎ	〔正義〕		zii
713	せいけい	〔生計〕		kurasigata，→くらしむき
713	せいけつ	〔清潔〕		cirii，ciriiN，→きれい
713	せいけん	〔聖賢〕		siiciN
713	せいけん	〔生絹〕		namasiraga
713	せいこう	〔成功〕		dikasi/～する dikasjuN
713	せいこん	〔精魂〕		sjootamasi
713	せいざ	〔正座〕		hwisjamaNci
713	せいし	〔生死〕		?icisini
713	せいじ	〔政治〕		siizi/ ～の行ない方 siizimuci
713	せいしきの	〔正式の〕		siNna，siNnu
713	せいしつ	〔性質〕		siisiCi，simuci，sjoobuN，sjoosiCi，suzoo，→しょう
713	せいじゃ	〔正邪〕		ziQpi，→ぜひ，よしあし
713	せいしゅん	〔青春〕		hanaZakai
713	せいしょ	〔清書〕		?agizi
713	せいじょう	〔正常〕		zuN，→あたりまえ
713	せいしん	〔精神〕		siN，sjootamasi，tamasi，→しんしん，たましい/～的な援助 cimunukasii
713	せいしんりょく	〔精神力〕		niNrici
713	せいすい	〔盛衰〕		sakai?uturui，→?utisizimi
713	せいぜい			takitutuumi，teetutuumi
713	ぜいぜい			gusugusu
713	せいせいする			→cimu，さっぱり
713	せいそう	〔正装〕		→coohacimaci，coo?isjoo
713	せいそう	〔盛装〕		curasugai，(敬語)cura?wiisugai
713	せいたい	〔声帯〕		nuudiiZiru
714	せいだい	〔盛大〕		taQtiiN/～なこと ?uhwiikutu
714	ぜいたく			haNkwa/～にする kwabiijuN
714	せいだす	〔精出す〕		?agacuN，cibajuN，cigakijuN/～こと ?agacihataraci，sjuQsii
714	せいちょう	〔成長・生長〕		cuui，?wiitaci，?wiQtaci/～させる ?waasjuN/～する?agacuN，?wiijuN，?wiitacuN，→そだつ/～する子供 ?wiitaciwarabi，→'juu?akiwarabi/～するに従ってよくなる ?wii?NzijuN/～するに従ってよくなること ?wiimasai/～するに従って悪くなる ?wiijaNdijuN/～するに従って悪くなること ?wiijaNdi
714	せいてん	〔盛典〕		?uhwiikutu，→taQtiiN
714	せいと	〔生徒〕		gakusjoo，siitu，Siminarajaa
714	せいとう	〔製糖〕		saataaZukui/ ～の仕事saataasikuci
714	せいどう	〔青銅〕		karakani
714	せいとん	〔整頓〕		sizumikaci/ ～する sizumijuN，→かたづける
714	せいなん	〔西南〕		saNtunii
714	せいにく	〔精肉〕		?aQtami
714	せいねん	〔生年〕		?Nmaridusi，sjooniN，(敬語)gusjooniN
714	せいねん	〔青年〕		niiSee，→'wakawikiga，わかもの
714	せいびょう	〔聖廟〕		siibjuu，ciisiNbjuu
714	せいふ	〔政府〕		→hjoozoozu，?uZa，(敬語)guhjoozoozu
714	せいほう	〔製法〕		→つくりかた
714	せいまい	〔精米〕		siragigumi/ ～するsiragijuN
714	せいめい	〔清明〕		siimii
714	せいめいさい	〔清明祭〕		?usiimii
714	せいもん	〔正門〕		?uhu?uzoo
714	せいよう	〔西洋〕		?uraNda
714	せいようご	〔西洋語〕		?uraNdaguci
714	せいようじん	〔西洋人〕		?uraNdaa
714	せいようてぬぐい	〔西洋手ぬぐい〕		?uraNdatiisaazi
714	せいり	〔整理〕		sizumikaci，→かたづける
714	せいりつする	〔成立する〕		tuzimajuN/ 成立させる tuzimijuN
714	せいりょく	〔精力〕		sii
714	せいりょくけん	〔勢力圏〕		kagee
714	せいろう	〔蒸籠〕		kusicii
714	せいろんべんけいそう		(植物名)	soosicigusa
714	せおう	〔背負う〕		kwiizikijuN，→おう/～こと ?uhwa，?uuhwa
714	せおよぎ	〔背泳ぎ〕		maahwanacaa?wiizi，niNzaa?wiizi
714	せかい	〔世界〕		sikee
714	せがき	〔施餓鬼〕		sigaci
714	せがむ			→たのむ，ほしがる/～こと neemai，sicimiN
714	せき	〔咳〕		saQkwii，→?ucineeZaQkwii/～の声koNkoN，?oho?oho
714	せき	〔席〕		Zaa，→せき
714	せきこむ	〔咳き込む〕		CiCiciNcuN，CiCicuN
714	せきたてる			?agimaasjuN
714	せきはん	〔赤飯〕		?akakoozi?ubuN，?akamaamii?ubuN，?aka?ubuN，→おこわ
714	せきめん	〔赤面〕		?akaZiraa
714	せきゆ	〔石油〕		siciju，sicitaNjuu
714	せきり	〔赤痢〕		ribjoo
714	せきれい	〔鶺鴒〕		Zuumiitamiitaa
714	せけん	〔世間〕		sikiN，→よのなか/～とのつきあい sikiNbiree/ ～なみ sikiNnami，→sikiN/～に通じること sikiNnari/～の人びと sikiN?umaNcu
714	せけんばなし	〔世間話〕		sikiNbanasi
714	せしめる			seekijuN
714	せすじ	〔背筋〕		/～が寒くなる kusihwizurusaN
714	せたい	〔世帯〕		→しょたい
714	せだい	〔世代〕		→だい
714	せたけ	〔背丈〕		→せ(せい)
714	せつ	〔節〕		siCi
714	せっかい	〔石灰〕		?isibee，sirahwee
714	せっかいする	〔切開する〕		'wajuN
714	せっかち			?asigacaa，kwacuu，→たんき
715	せっかん	〔折檻〕		siQkaN
715	ぜっきょう	〔絶叫〕		kaziciri?abii
715	せっきょく	〔積極〕		/～性 ?uguci/～性と分別 ?uguciziNbuN/～的な人 ?ugucimuci
715	せっく	〔節供〕		siQku
715	せっこうせん	〔接貢船〕		ceQkuNsiN
715	せった	〔雪駄〕		kaasaba，siQta，→ぞうり
715	せったい	〔接待〕	(敬語)	?utuimuci/～する tuimucuN
715	せっとくする	〔説得する〕		?ii?irijuN
715	せっばん	〔折半〕		haNbuNwaakii
715	せつび	〔設備〕		sunawai，→もうける
715	せっぷく	〔切腹〕		siQpuku
715	ぜっぺき	〔絶壁〕		hucibaNta，→がけ
715	せつやく	〔節約〕		?aganee，→けんやく/～する ?aganeejuN，kubameesjuN
715	せつわ	〔説話〕		?ihwanasi，→むかしばなし
715	せともの	〔瀬戸物〕		narimuN，zoojaci，→やきもの/ ～市 Cibujamaci/ ～類 narimuNdoogu
715	せなか	〔背中〕		kusi，kusinagani，nagani，→せ/ ～の肉 →?ucinaganii
715	ぜに	〔銭〕		ziN，(小児語)ziinuu，→かね/～の雨 ziN?ami/ ～を捨てるようなことziNSitigutu
715	ぜにいれ	〔銭入れ〕		ziN?iri，→ぜにばこ，ぜにぶくろ
715	ぜにさし	〔銭差し〕		ziNnaa
715	ぜにたむし	〔銭田虫〕		gucahwa
715	ぜになわ	〔銭繩〕		ziNnaa
715	ぜにばこ	〔銭箱〕		ziNbaku
715	ぜにぶくろ	〔銭袋〕		ziNbukuru，→ぜにいれ
715	せぬい	〔背縫い〕		?Nnazi
715	せのび	〔背伸び〕		hwisjadakaa
715	ぜひ	〔是非〕		ziihuzi，zihwi，ziQpi，→かならず，しいて，ぜんあく，たって/～ないもの zihwineemuN
715	せぼね	〔背骨〕		kusibuni，naganibuni
715	せまい	〔狭い〕		?ibasaN，sibasaN，→'waa/～所 ?ibadukuru，?ibai，?ibaidukuru
715	せまくるしい	〔狭苦しい〕		?ibasaN，→せまい/～さま ?ibajaasiicee
715	せみ	〔蟬〕		/鳴かない ～Ciigaa/鳴く～?abijaa/ ～の一種?asasaa，naabikacikacii，saNsanaa，siimiigwaa，ziiwaziiwa，ziizaa
715	せめあい	〔攻め合い〕		simiee
715	せめころす	〔攻め殺す〕		simikurusjuN
715	せめよせる	〔攻め寄せる〕		simijusijuN
715	せめる	〔攻める〕		simijuN/せめおとす→かんらくさせる
715	せめる	〔責める〕		simijuN，→siNda，とがめる/せめとがめること nucihwici
715	せる			→させる
715	せわ	〔世話〕		miikaNgee，mucinasi，siNziCi，→しゅうせん/～がやけない →hwiQtiN neeN/ ～する kaNgeejuN，miikaNgeejuN，'waNdajuN/ ～になる →'waNdajuN
715	せわしい			cimu?icunasaN，→忙しい
715	せん	〔千〕		siN
715	せん	〔線〕		Sizi，→すじ
715	せん	〔栓〕		hwiSi，zoo
715	せん	〔詮〕		siN，→かい
715	ぜん	〔膳〕		?uziN，ziN/ ～に飯と汁とを逆に置くこと hwizaiguN/～の一種 'jasikuziN，'jasjukuziN/ 丸い～maru?uziN
715	ぜんあく	〔善悪〕		zihwi，ziQpi，→ぜひ，よしあし
715	せんい	〔繊維〕		kazi
715	せんいん	〔船員〕		hunanui，?umi?aQcaa，→hunatoo，すいふ
715	ぜんいん	〔全員〕		suujoo，→みんな
715	ぜんかい	〔全快〕		hwijuu，kweeci，murunooi，→かいふく/ ～祝い kweeci?uwee，kweeci?ujuwee/～するniicirijuN，→なおる
715	せんがん	〔千貫〕	(銭)	siNgwaN
715	せんぎょう	〔賤業〕		janawaZa
715	ぜんきん	〔前金〕		meeziN，→まえばらい
715	せんく	〔先駆〕		sacibai，→せんどう
715	せんくち	〔先口〕		saciguci
716	せんげつ	〔先月〕		kutaCici
716	ぜんげつ	〔前月〕		meenuCici
716	ぜんご	〔前後〕		?atusaci，→sirikuci，sirukuci/ ～左右 siraakusjaa，sirukucimaakuci
716	せんこう	〔線香〕		koo，?ukoo，(敬語)mjuukoo，njuukoo，→njuukuSizi，nuukooSizi/ ～の一種 hutuci?ukoo，?umuCiri?ukoo/ ～をあげる炉 ?ukooru
716	せんこう	〔先行〕		sacidaci，→さきがけ/ ～する sadajuN
716	せんこつ	〔洗骨〕		siNkuCi
